,country_long,name,capacity_mw,primary_fuel,commissioning_year,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017
5074,China,APP Zhenjiang Jindong Mill power station,290,Coal,2000,,,,,1413.08
5083,China,Aksu Cogen power station,700,Coal,2016,,,,,3410.88
5088,China,Aksu Xuzhou power station,400,Coal,2011,,,,,1949.07
5095,China,Alashan Left Qi Wusitai power station,600,Coal,2009,,,,,2923.61
5101,China,Anda Cogen power station,100,Coal,2014,,,,,487.26
5104,China,Anhui Bengbu power station,2520,Coal,2013,,,,,12279.18
5106,China,Anhui Hwasu power station,600,Coal,2012,,,,,2923.61
5110,China,Anhui Xuancheng power station,1320,Coal,2012,,,,,6431.95
5113,China,Ankang,800,Hydro,1993,2492,2905.47,3015.5,3281.69,2929.86
5119,China,Ansha Dam,115,Hydro,1975,354.4,428.98,421.66,469.7,417.86
5120,China,Anshan Steel Company No 2 power station,345,Coal,1973,,,,,1681.07
5123,China,Anwen Songzao power station,1620,Coal,2015,,,,,7893.75
5127,China,Aral Xinhu Cogen power station,800,Coal,2013,,,,,3898.15
5131,China,Baguanhe Washery power station,270,Coal,2007,,,,,1315.62
5140,China,Bailianhe,300,Hydro,1960,557.2,842.82,811.97,1067.79,882.76
5143,China,Baise,540,Hydro,2006,1660.89,1720.87,1743.09,1892.46,1747.25
5144,China,Baise Coal,1320,Coal,2009,,,,,6431.95
5145,China,Baise Smelter power station,700,Coal,2016,,,,,3410.88
5146,China,Baise Tianyang power station,300,Coal,2007,,,,,1461.8
5148,China,Baishan - Hunjiang 2 Coal,600,Coal,2007,,,,,2923.61
5150,China,Baishi (Guizhou) Dam,420,Hydro,2011,1086.8,1358.38,1398.44,1581.96,1342.49
5151,China,Baishi (Liaoning) Dam,9.6,Hydro,2002,19.2,30.88,30.97,28.18,30.48
5154,China,Baitao cogen power station,100,Coal,2012,,,,,487.26
5159,China,Baiyanghe power station,890,Coal,2002,,,,,4336.69
5169,China,Banshan Gas,1170,Gas,2005,,,,,3545.81
5171,China,Baoding Northwest Suberb power station,350,Coal,2017,,,,,1705.44
5173,China,Baoquan,1200,Hydro,2011,1930.38,3101.5,3449.68,4174.37,3021.49
5176,China,Baoshan Works power station,1050,Coal,1986,,,,,5116.32
5177,China,Baosteel Zhanjiang power station,700,Coal,2014,,,,,3410.88
5178,China,Baotou Aluminum power station,1360,Coal,2016,,,,,6626.85
5179,China,Baotou Donghua power station,600,Coal,2005,,,,,2923.61
5180,China,Baotou East Hope power station,1320,Coal,2003,,,,,6431.95
5181,China,Baotou Hexi power station,1200,Coal,2006,,,,,5847.22
5182,China,Baotou Olefins power station,600,Coal,2009,,,,,2923.61
5183,China,Baotou Works power station,200,Coal,2001,,,,,974.53
5189,China,Baozhusi,700,Hydro,1996,2180.5,2633.13,2621.26,2849.38,2611.1
5191,China,Baqiao power station,850,Coal,2007,,,,,4141.78
5192,China,Bashan Dam,140,Hydro,2009,345.47,441.57,460.84,528.11,463.13
5204,China,Bayanhua Jinshan power station,1200,Coal,2010,,,,,5847.22
5215,China,Beian power station,100,Coal,1997,,,,,487.26
5218,China,Beihai Bebuwan power station,640,Coal,2004,,,,,3118.52
5219,China,Beihai New Area Heating power station,900,Coal,2014,,,,,4385.42
5221,China,Beijing - Northwest,2100,Gas,2013,,,,,6364.27
5222,China,Beijing - Shijingshan Coal,880,Coal,1988,,,,,4287.96
5232,China,Beitun Cogen power station,270,Coal,2016,,,,,1315.62
5236,China,Bijie power station,300,Coal,2009,,,,,1461.8
5237,China,Bikou,300,Hydro,1977,936.56,1125.46,1121.1,1223.23,1211.3
5242,China,Binzhou - Huji 1-4 Coal,1320,Coal,2014,,,,,6431.95
5243,China,Binzhou Heating Supply Center power station,780,Coal,2012,,,,,3800.69
5245,China,Bohe Coal,2000,Coal,2015,,,,,9745.38
5249,China,Bole Cogen power station,300,Coal,2016,,,,,1461.8
5250,China,Bulian power station,1320,Coal,2013,,,,,6431.95
5265,China,CHALCO Shandong Branch Power Station,138,Coal,2012,,,,,672.43
5266,China,CKI Lamma power station,2500,Coal,1989,,,,,12181.72
5267,China,CNPC Fushun Petrochemical power station,280,Coal,2009,,,,,1364.35
5268,China,CPI Baicheng power station,1320,Coal,2010,,,,,6431.95
5269,China,CPI Changshu-1 power station,3320,Coal,2005,,,,,16177.33
5270,China,CPI Chifeng Daban power station,1200,Coal,2013,,,,,5847.22
5271,China,CPI Chifeng New City Region power station,600,Coal,2017,,,,,2923.61
5272,China,CPI Dabieshan power station,1200,Coal,2008,,,,,5847.22
5273,China,CPI Fenyi power station,540,Coal,2006,,,,,2631.25
5274,China,CPI Huolinhe power station,1200,Coal,2008,,,,,5847.22
5275,China,CPI Nanyang power station,420,Coal,2008,,,,,2046.53
5276,China,CPI Ningxia Zaoquan power station,1320,Coal,2017,,,,,6431.95
5277,China,CPI Pingwei power station,4540,Coal,2006,,,,,22122.01
5278,China,CPI Qinghe power station,1600,Coal,1995,,,,,7796.3
5279,China,CPI Shanxi Houma power station,700,Coal,2012,,,,,3410.88
5280,China,CPI Shentou power station,1320,Coal,1998,,,,,6431.95
5281,China,CPI Wusu power station,600,Coal,2011,,,,,2923.61
5282,China,CPI Xinchang power station,1400,Coal,2010,,,,,6821.76
5283,China,CPI Xining power station,1320,Coal,2015,,,,,6431.95
5284,China,CPI Zhongwei Cogen power station,700,Coal,2016,,,,,3410.88
5285,China,CR Changzhou power station,1260,Coal,2006,,,,,6139.59
5286,China,CR Liuzhi power station,1320,Coal,2016,,,,,6431.95
5292,China,Cangzhou Bohai power station,700,Coal,2015,,,,,3410.88
5293,China,Cangzhou power station,660,Coal,2007,,,,,3215.97
5295,China,Caofeidian Works power station,600,Coal,2009,,,,,2923.61
5300,China,Castle Peak power station,4108,Coal,1986,,,,,20017.01
5335,China,Changchun Southeast power station,700,Coal,2018,,,,,3410.88
5336,China,Changchun-2 power station,1220,Coal,2001,,,,,5944.68
5337,China,Changchun-3 power station,600,Coal,2009,,,,,2923.61
5339,China,Changde Coal,1320,Coal,2015,,,,,6431.95
5344,China,Changji Coal,250,Coal,2006,,,,,1218.17
5345,China,Changji Fukang power station,270,Coal,2010,,,,,1315.62
5361,China,Changshu-2 power station,1950,Coal,2005,,,,,9501.74
5369,China,Changxing Island Hengli Petrochemical power station,720,Coal,2012,,,,,3508.33
5370,China,Changzhi Tunliu power station,270,Coal,2006,,,,,1315.62
5371,China,Changzhi power station,660,Coal,2012,,,,,3215.97
5372,China,Changzhou,630,Hydro,1993,1343.48,1806.49,1789.91,2211.98,1474.42
5373,China,Changzhou Zhongtian Iron & Steel power station,230,Coal,2005,,,,,1120.71
5378,China,Chaoyang Yanshanhu power station,1200,Coal,2012,,,,,5847.22
5380,China,Chaozhou Sanbaimen power station,3200,Coal,2008,,,,,15592.61
5386,China,Chengbihe,30,Hydro,1966,57.14,87.79,95.43,101.82,81
5393,China,Chengfeng Cogen power station,150,Coal,2006,,,,,730.9
5401,China,Chifeng Yuanbaoshan power station,1800,Coal,1994,,,,,8770.84
5402,China,China Resources Caofeidian power station,600,Coal,2016,,,,,2923.61
5403,China,China Resources Dengkou power station,660,Coal,2009,,,,,3215.97
5404,China,China Resources Gucheng power station,640,Coal,2006,,,,,3118.52
5406,China,Chiping Haoji power station,1400,Coal,2013,,,,,6821.76
5407,China,Chiping Xinfa power station,620,Coal,2002,,,,,3021.06
5408,China,Chitan,400,Hydro,1980,951.1,1235.68,1262.21,1472.3,1224.9
5409,China,Chizhou Jiuhua power station,600,Coal,2005,,,,,2923.61
5410,China,Chonghu'er,110,Hydro,2009,356.92,417.03,417.66,473.27,416.55
5412,China,Chongqing Baihe power station,600,Coal,2004,,,,,2923.61
5415,China,Chongqing Coal,600,Coal,1986,,,,,2923.61
5417,China,Chongqing Lee & Man Paper power station,150,Coal,2008,,,,,730.9
5419,China,Chongqing Longqiao power station,400,Coal,2014,,,,,1949.07
5421,China,Chongqing Nine Dragons Cogen power station,180,Coal,2009,,,,,877.08
5424,China,Chongqing Qineng power station,660,Coal,2013,,,,,3215.97
5426,China,Chongqing Shizhu power station,700,Coal,2014,,,,,3410.88
5427,China,Chongqing Shuanghuai power station,1920,Coal,2011,,,,,9355.56
5432,China,Chuangyuan Smelter power station,990,Coal,2017,,,,,4823.96
5440,China,Coloane B,136.4,Gas,2003,,,,,413.37
5451,China,Daba power station,2520,Coal,2001,,,,,12279.18
5455,China,Dabu Coal,1200,Coal,2015,,,,,5847.22
5459,China,Dafang power station,1200,Coal,2006,,,,,5847.22
5465,China,Daguangba,240,Hydro,1995,576.59,732.2,708.68,849.06,723.6
5470,China,Dahua,600,Hydro,1986,1471.34,1704.95,2604.86,1933.58,2037.51
5472,China,Daihai power station,2430,Coal,2008,,,,,11840.63
5477,China,Dalate power station,3180,Coal,2002,,,,,15495.15
5479,China,Dalian ETDC power station,700,Coal,2010,,,,,3410.88
5480,China,Dalian Ganjingzi power station,600,Coal,2010,,,,,2923.61
5481,China,Dalian Taishan power station,270,Coal,2006,,,,,1315.62
5487,China,Dandong Jinshan power station,600,Coal,2012,,,,,2923.61
5489,China,Dangtang Shendong power station,700,Coal,2018,,,,,3410.88
5490,China,Danjiangkou,900,Hydro,1973,2736.95,3281.39,3281.39,3564.7,3281.39
5494,China,Daqing Ethylene Plant power station,320,Coal,1986,,,,,1559.26
5495,China,Daqing Oil Central power station,900,Coal,1999,,,,,4385.42
5496,China,Daqing Oil Hongwei power station,200,Coal,2000,,,,,974.53
5500,China,Datang 803 power station,600,Coal,2013,,,,,2923.61
5501,China,Datang Anhui Huainan Tianjiaan power station,640,Coal,1989,,,,,3118.52
5502,China,Datang Anyang-2 power station,1240,Coal,2003,,,,,6042.13
5504,China,Datang Baoding cogen power station,650,Coal,1999,,,,,3167.24
5505,China,Datang Baoji power station,660,Coal,2009,,,,,3215.97
5507,China,Datang Binchang power station,1260,Coal,2009,,,,,6139.59
5508,China,Datang Binzhou power station,700,Coal,2015,,,,,3410.88
5511,China,Datang Changshan power station,660,Coal,2008,,,,,3215.97
5519,China,Datang Fuzhou power station,2000,Coal,2016,,,,,9745.38
5520,China,Datang Gangu power station,660,Coal,2007,,,,,3215.97
5524,China,Datang Harbin power station,600,Coal,2009,,,,,2923.61
5525,China,Datang Heshan power station,1330,Coal,2003,,,,,6480.67
5526,China,Datang Hunchun power station,660,Coal,2002,,,,,3215.97
5527,China,Datang Hutubi power station,600,Coal,2013,,,,,2923.61
5533,China,Datang Jingtai power station,1320,Coal,2009,,,,,6431.95
5537,China,Datang Liancheng-2 power station,600,Coal,2004,,,,,2923.61
5538,China,Datang Linzhou power station,700,Coal,2011,,,,,3410.88
5539,China,Datang Lueyang power station,660,Coal,2011,,,,,3215.97
5540,China,Datang Luoyang Shouyangshan power station,1040,Coal,1991,,,,,5067.59
5541,China,Datang Luoyang power station,1045,Coal,2003,,,,,5091.96
5542,China,Datang Maanshan Dangtu power station,1320,Coal,2008,,,,,6431.95
5543,China,Datang Matou power station,1020,Coal,1992,,,,,4970.14
5544,China,Datang Nanjing Xiaguan-3 power station,1320,Coal,2010,,,,,6431.95
5547,China,Datang Ningde power station,2520,Coal,2007,,,,,12279.18
5556,China,Datang Qingyuan power station,600,Coal,2012,,,,,2923.61
5557,China,Datang Qitaihe power station,1900,Coal,2006,,,,,9258.11
5560,China,Datang Sanmenxia power station,2900,Coal,2007,,,,,14130.8
5561,China,Datang Shentou power station,2000,Coal,1998,,,,,9745.38
5562,China,Datang Shuangyashan power station,400,Coal,2006,,,,,1949.07
5564,China,Datang Tuoketuo power station,6720,Coal,2007,,,,,32744.48
5566,China,Datang Weihe power station,600,Coal,2003,,,,,2923.61
5569,China,Datang Wuan power station,600,Coal,2012,,,,,2923.61
5570,China,Datang Wushashan power station,2400,Coal,2006,,,,,11694.45
5571,China,Datang Xigu power station,990,Coal,2004,,,,,4823.96
5572,China,Datang Xinyang power station,1940,Coal,2006,,,,,9453.01
5573,China,Datang Xinyu power station,440,Coal,1996,,,,,2143.98
5574,China,Datang Xutang power station,1200,Coal,2002,,,,,5847.22
5575,China,Datang Yungang power station,1040,Coal,2006,,,,,5067.59
5577,China,Datang Zhuzhou-2 power station,1260,Coal,2016,,,,,6139.59
5578,China,Datong - SDIC Coal,270,Coal,2010,,,,,1315.62
5579,China,Datong - Tashan Coal,4520,Coal,2008,,,,,22024.56
5586,China,Datong power station,3990,Coal,2001,,,,,19442.03
5587,China,Datun Mine power station,390,Coal,2005,,,,,1900.34
5593,China,Dazhou,1400,Gas,2010,,,,,4242.85
5597,China,Dengfeng-1 power station,420,Coal,2002,,,,,2046.53
5598,China,Dengfeng-2 power station,1900,Coal,2009,,,,,9258.11
5645,China,Diandong Yuwang power station,1200,Coal,2010,,,,,5847.22
5646,China,Diandong power station,2400,Coal,2007,,,,,11694.45
5649,China,Diaobingshan power station,600,Coal,2010,,,,,2923.61
5665,China,Dingzhou power station,2520,Coal,2007,,,,,12279.18
5671,China,Dongfeng Captive power station,180,Coal,1988,,,,,877.08
5672,China,Dongfeng Xiangfan Factory power station,100,Coal,1995,,,,,487.26
5677,China,Dongjiang,500,Hydro,1992,1240.54,1577.27,1584.36,1983.84,1582.75
5681,China,Dongping Dam,110,Hydro,2005,325.1,405.59,409.75,463.32,419.05
5686,China,Dongtang Coal,270,Coal,2005,,,,,1315.62
5687,China,Dongtang Plant power station,285,Coal,2004,,,,,1388.71
5690,China,Dongying Coastal power station,600,Coal,2012,,,,,2923.61
5691,China,Dongying Huatai Chemical power station,200,Coal,2010,,,,,974.53
5692,China,Dongyuan Tech power station,200,Coal,2014,,,,,974.53
5694,China,Douhe power station,1300,Coal,1981,,,,,6334.49
5701,China,Duolun Coal Chemical power station,280,Coal,2010,,,,,1364.35
5702,China,Dushanzi Ethene power station,475,Coal,2007,,,,,2314.52
5703,China,East Hope Metals Wucaiwan power station,7000,Coal,2014,,,,,34108.83
5715,China,Erdaojiang power station,600,Coal,2004,,,,,2923.61
5724,China,Ertan,3300,Hydro,2000,9480.5,11614.32,11649.51,11371.76,11614.32
5737,China,Fangchenggang Coal,2580,Coal,2007,,,,,12571.54
5741,China,Fangjiazhuang Coal,660,Coal,2010,,,,,3215.97
5742,China,Fangshan power station,100,Coal,2007,,,,,487.26
5748,China,Feilaixia Dam,140,Hydro,1999,463.39,581.3,553.92,585.76,581.3
5768,China,Fengman,809,Hydro,1941,2756.74,2957.59,3063.61,3505.72,3013.98
5769,China,Fengrun power station,600,Coal,2008,,,,,2923.61
5770,China,Fengshuba Dam,150,Hydro,1973,391.53,497.41,487.22,597.3,497.41
5771,China,Fengtan,800,Hydro,1979,2473.31,2956.27,3322.06,3595.31,3091.95
5774,China,Fengxian Gas,760,Gas,2005,,,,,2303.26
5776,China,Fengzhen - Huaneng Coal,800,Coal,1992,,,,,3898.15
5777,China,Fengzhen - Jinlong Coal,1200,Coal,2007,,,,,5847.22
5779,China,Fengzhen Xinfeng power station,600,Coal,2007,,,,,2923.61
5786,China,Fugu Qingshuichuan power station,600,Coal,2016,,,,,2923.61
5789,China,Fujian Hongshan power station,3200,Coal,2014,,,,,15592.61
5812,China,Fujian Putian,1528,Gas,2006,,,,,4630.76
5822,China,Fujian Xiamen Dongbu,764,Gas,2006,,,,,2315.38
5836,China,Funing Coal,30,Coal,2003,,,,,146.18
5845,China,Fushun CPI power station,600,Coal,2004,,,,,2923.61
5847,China,Fuxi power station,1200,Coal,2012,,,,,5847.22
5848,China,Fuxin Jinshan Power Station,600,Coal,2007,,,,,2923.61
5850,China,Fuxin power station,1100,Coal,2000,,,,,5359.95
5851,China,Fuyang power station,1280,Coal,2006,,,,,6237.04
5852,China,Fuzhou Kemen power station,2400,Coal,2007,,,,,11694.45
5854,China,GEPIC Jinchang power station,1320,Coal,2006,,,,,6431.95
5855,China,GEPIC Zhangye power station,650,Coal,2006,,,,,3167.24
5873,China,Ganneng Fengcheng power station,1400,Coal,2007,,,,,6821.76
5874,China,Ganquanbao TBEA power station,700,Coal,2013,,,,,3410.88
5877,China,Gansu Baiyin power station,700,Coal,2016,,,,,3410.88
5879,China,Gansu Chongxin power station,1320,Coal,2010,,,,,6431.95
5945,China,Geheyan,1200,Hydro,1994,3833.12,4692.71,4692.71,5101.79,4692.71
5946,China,Gelantan Dam,390,Hydro,2007,1073.89,1331.73,1331.73,1476.08,1350.23
5948,China,Gezhen Dam,80,Hydro,2009,239.49,293.37,277.9,321.85,277.9
5949,China,Gezhouba,3190,Hydro,1986,,,,,11740.72
5993,China,Gold Huasheng Mill power station,100,Coal,1998,,,,,487.26
5996,China,Golmud,300,Gas,2004,,,,,909.18
6003,China,Gong Guo Qiao,750,Hydro,2011,1840.08,2163.42,2351.52,2605.6,2325.04
6006,China,Gongboxia,1500,Hydro,2000,3471.28,5589.75,3876.82,5876.6,4593.48
6019,China,Gongzui,2100,Hydro,1979,5167.42,7390.93,7298.35,8496.89,7413.32
6020,China,Gou Pi Tan,3000,Hydro,2009,8574.45,11767.01,9916.15,12738.79,11716.14
6021,China,Great Waste Coal power station,270,Coal,2009,,,,,1315.62
6022,China,GreenGen power station,250,Coal,2012,,,,,1218.17
6023,China,Guadian Dam,2400,Hydro,2012,6920.5,8340.97,8058.73,9840.7,8472.37
6024,China,Guandi,2400,Hydro,2013,6920.5,8340.97,8058.73,9840.7,8472.37
6025,China,Guangan power station,2400,Coal,2004,,,,,11694.45
6030,China,Guangdong Huilai power station,3200,Coal,2011,,,,,15592.61
6032,China,Guangdong Huizhou Pinghai power station,2000,Coal,2010,,,,,9745.38
6034,China,Guangdong Jinwan power station,1200,Coal,2007,,,,,5847.22
6039,China,Guangdong Shajiao power complex,3970,Coal,1992,,,,,19344.58
6041,China,Guangdong Shaoguan power station,1800,Coal,2011,,,,,8770.84
6061,China,Guangxi Luzhai power station,700,Coal,2016,,,,,3410.88
6072,China,Guangzhoao Dam,1040,Hydro,2006,2679.43,3585.52,3458.16,4095.04,3475.33
6073,China,Guangzhou Lixin power station,660,Coal,2012,,,,,3215.97
6075,China,Guangzhou Nansha power station,600,Coal,2009,,,,,2923.61
6076,China,Guangzhou Pump Storage,2400,Hydro,1993,5582.7,7733.68,7733.68,9321.48,7733.68
6077,China,Guangzhou Refinery power station,240,Coal,2007,,,,,1169.44
6078,China,Guangzhou Wanglong Cogen power station,200,Coal,2005,,,,,974.53
6081,China,Guangzhou Zhujiang power station,1280,Coal,1996,,,,,6237.04
6082,China,Guangzhou power station,240,Coal,1989,,,,,1169.44
6086,China,Guanyinge Dam,19.5,Hydro,1995,64.67,71.83,67.85,81.83,75.24
6087,China,Guanyinyan,3000,Hydro,2016,7053.24,12304.48,8993.08,10008.27,9868.81
6099,China,Guixi power station,1880,Coal,2004,,,,,9160.65
6101,China,Guizhou Dalong power station,600,Coal,2006,,,,,2923.61
6103,China,Guizhou Faer power station,2400,Coal,2009,,,,,11694.45
6117,China,Guodian Anshun power station,1200,Coal,2000,,,,,5847.22
6118,China,Guodian Baoji-2 power station,2520,Coal,2006,,,,,12279.18
6119,China,Guodian Baoqing power station,1320,Coal,2012,,,,,6431.95
6120,China,Guodian Beilun power station,5060,Coal,2002,,,,,24655.81
6122,China,Guodian Changyuan Jingzhou power station,600,Coal,2000,,,,,2923.61
6123,China,Guodian Dananhu power station,1320,Coal,2016,,,,,6431.95
6124,China,Guodian Dawukou power station,660,Coal,2000,,,,,3215.97
6125,China,Guodian Dongsheng power station,660,Coal,2008,,,,,3215.97
6126,China,Guodian Duyun power station,1200,Coal,2012,,,,,5847.22
6127,China,Guodian Feixian power station,1300,Coal,2007,,,,,6334.49
6128,China,Guodian Guangdong Zhaoqing Dawang power station,700,Coal,2013,,,,,3410.88
6130,China,Guodian Huangjinbu power station,1300,Coal,2007,,,,,6334.49
