,country_long,name,capacity_mw,primary_fuel,commissioning_year,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017
7118,China,Jingneng Chifeng Waste Coal power station,270,Coal,2008,,,,,1315.62
7119,China,Jingneng Energy Huaning Cogen power station,300,Coal,2007,,,,,1461.8
7120,China,Jingneng Energy Jining power station,700,Coal,2016,,,,,3410.88
7124,China,Jingneng Zhuozhou power station,350,Coal,2017,,,,,1705.44
7129,China,Jingtai Zhungeer Suancigou power station,600,Coal,2010,,,,,2923.61
7130,China,Jingui Mill power station,300,Coal,2010,,,,,1461.8
7131,China,Jingxi Xinfa Aluminum power station,825,Coal,2011,,,,,4019.96
7133,China,Jingyuan-2 power station,1240,Coal,2001,,,,,6042.13
7137,China,Jinhai Mill power station,300,Coal,2004,,,,,1461.8
7144,China,Jining Yangcheng power station,300,Coal,2009,,,,,1461.8
7145,China,Jinjeng,700,Gas,2005,,,,,2121.42
7148,China,Jinling,700,Gas,2004,,,,,2121.42
7149,China,Jinneng Guojin power station,700,Coal,2016,,,,,3410.88
7151,China,Jinping I,3600,Hydro,2014,8858.44,12511.46,13535.3,14761.05,13535.3
7152,China,Jinping II,4400,Hydro,2016,10826.98,15291.79,16543.15,18041.29,16543.15
7154,China,Jinsha Chayuan power station,1320,Coal,2016,,,,,6431.95
7156,China,Jinshuitan,300,Hydro,1988,685.62,898.21,887.82,1041.53,887.65
7170,China,Jinyuan Thermal power station,50,Coal,2008,,,,,243.63
7171,China,Jinzhong Anping power station,300,Coal,2007,,,,,1461.8
7172,China,Jinzhou Datang power station,600,Coal,2009,,,,,2923.61
7173,China,Jinzhushan power station,1950,Coal,2000,,,,,9501.74
7174,China,Jisco-1 power station,850,Coal,2004,,,,,4141.78
7175,China,Jisco-2 power station,700,Coal,2012,,,,,3410.88
7176,China,Jishixia,1020,Hydro,2014,1989.85,4002.49,2754.1,3871.4,2997.91
7181,China,Jiujiang Petrochem power station,100,Coal,2012,,,,,487.26
7189,China,Jiulong Paper Mill Jiulong power station,320,Coal,2007,,,,,1559.26
7190,China,Jiulong Paper Mill power station,380,Coal,2006,,,,,1851.62
7195,China,Jixi power station,850,Coal,2008,,,,,4141.78
7199,China,Jufudu Dam,285,Hydro,2008,788.95,973.19,973.24,1078.67,986.71
7200,China,Juhua Quzhou Complex power station,315,Coal,2002,,,,,1534.89
7202,China,Junliangcheng power station,700,Coal,1999,,,,,3410.88
7203,China,Junzheng Wuhai power station,500,Coal,2009,,,,,2436.34
7205,China,Kaidi Languang power station,270,Coal,2007,,,,,1315.62
7206,China,Kaifeng-2 power station,1260,Coal,2008,,,,,6139.59
7207,China,Kailuan Guye power station,600,Coal,2015,,,,,2923.61
7212,China,Kaiyuan power station,600,Coal,2006,,,,,2923.61
7222,China,Kangbashi power station,700,Coal,2014,,,,,3410.88
7224,China,Kangping power station,1200,Coal,2008,,,,,5847.22
7226,China,Kanshan power station,1200,Coal,2006,,,,,5847.22
7230,China,Karamay power station,700,Coal,2014,,,,,3410.88
7240,China,Keyouzhongqi power station,330,Coal,2010,,,,,1607.98
7246,China,Kuitun-2 power station,100,Coal,2002,,,,,487.26
7249,China,Kunming Shilin,100,Solar,2011,221.66,213.13,209.64,189.1,181.06
7250,China,Kunming power station,600,Coal,2001,,,,,2923.61
7251,China,Kunshan Coal,50,Coal,2003,,,,,243.63
7252,China,Laibin power station,1320,Coal,2001,,,,,6431.95
7253,China,Laicheng power station,1200,Coal,2001,,,,,5847.22
7263,China,Langyashan,658,Hydro,2005,1333.37,1923.1,1923.1,2357.88,1923.1
7268,China,Lanxi power station,2400,Coal,2008,,,,,11694.45
7269,China,Lanzhou Fanjiaping power station,660,Coal,2011,,,,,3215.97
7270,China,Lanzhou Lanl? power station,300,Coal,2008,,,,,1461.8
7273,China,Laohushao,390,Hydro,1986,1102.64,1177.58,1167.13,1372.81,1180.58
7278,China,Laxiwa,4200,Hydro,2010,12310.78,12861.76,13034.94,16454.5,12861.76
7280,China,Lee & Man Paper power station,216,Coal,2007,,,,,1052.5
7283,China,Leiyang Baiyang Coal,120,Coal,2006,,,,,584.72
7284,China,Leiyang Baiyang power station,120,Coal,2007,,,,,584.72
7285,China,Leiyang power station,1020,Coal,1998,,,,,4970.14
7302,China,Liangjiang,934,Gas,2014,,,,,2830.58
7303,China,Liangjiang,20,Hydro,2005,66.15,74.94,72.94,86.59,74.94
7308,China,Lianhua,550,Hydro,1998,1491.56,1859.1,1867.26,2067.82,1812.25
7313,China,Liaocheng Zhonghua power station,1200,Coal,2002,,,,,5847.22
7340,China,Liaoning Nanpiao power station,500,Coal,2008,,,,,2436.34
7351,China,Liaoning-2 power station,400,Coal,1991,,,,,1949.07
7352,China,Liaoning-3 power station,700,Coal,2005,,,,,3410.88
7353,China,Liaoyang Chemical power station,200,Coal,1996,,,,,974.53
7354,China,Liaoyang Guocheng power station,50,Coal,2015,,,,,243.63
7355,China,Liaoyuan Datang power station,660,Coal,2007,,,,,3215.97
7358,China,Ligang power station,3960,Coal,2003,,,,,19295.85
7359,China,Lijiaxia Dam,1632,Hydro,1997,4783.62,4997.71,5065,6393.74,4997.71
7365,China,Linfen power station,600,Coal,2010,,,,,2923.61
7382,China,Linyi Huasheng power station,405,Coal,2004,,,,,1973.43
7383,China,Linyi Xincheng Jinluo Cogen power station,50,Coal,2017,,,,,243.63
7384,China,Linyi power station,1260,Coal,2007,,,,,6139.59
7405,China,Liujiaxia,1225,Hydro,1968,2959.24,3990.23,3732.03,4337.05,3732.03
7406,China,Liulin 1 Coal,1400,Coal,1995,,,,,6821.76
7407,China,Liulin Liansheng power station,2000,Coal,2008,,,,,9745.38
7417,China,Liuxihe,48,Hydro,1958,127.37,177.7,160.51,182.97,173.39
7420,China,Liuzhou City power station,440,Coal,1994,,,,,2143.98
7421,China,Lixin Banji power station,2000,Coal,2016,,,,,9745.38
7422,China,Liyang,1200,Hydro,2016,2708.72,3784.21,3784.21,4577.89,3784.21
7424,China,Liyuan,2400,Hydro,2015,5536.79,9543.06,7220.05,8032.27,7895.04
7425,China,Liyuan Cogen power station,700,Coal,2016,,,,,3410.88
7427,China,Liyujiang-2A power station,630,Coal,1999,,,,,3069.79
7428,China,Liyujiang-2B power station,1300,Coal,2007,,,,,6334.49
7429,China,Long Chen Paper Jingzhou captive power station,105,Coal,2017,,,,,511.63
7431,China,Longchuan power station,270,Coal,2008,,,,,1315.62
7432,China,Longgang Coal,270,Coal,1995,,,,,1315.62
7433,China,Longgu Cogen power station,110,Coal,2005,,,,,535.99
7435,China,Longhua Baicheng power station,400,Coal,2011,,,,,1949.07
7436,China,Longhua Yanji power station,400,Coal,2010,,,,,1949.07
7437,China,Longjiang (Yunnan) Dam,240,Hydro,2010,586.49,801.13,806.77,1135.57,1053.99
7438,China,Longkaikou,1900,Hydro,2013,4467.05,7792.83,5695.61,6338.57,6250.24
7441,China,Longma Dam,240,Hydro,2007,624.39,779.58,779.58,893.46,754.42
7443,China,Longsheng Cogen power station,60,Coal,2017,,,,,292.36
7446,China,Longshou II Dam,157,Hydro,2004,410.48,518.52,549.23,590.73,516.21
7447,China,Longtan,6300,Hydro,2009,18392.19,20393.51,19193.32,22304.87,18607.73
7449,China,Longyangxia,1280,Hydro,1992,3751.85,3919.77,3972.55,5014.7,3919.77
7457,China,Luanhe power station,990,Coal,2005,,,,,4823.96
7460,China,Luannan power station,116,Coal,2000,,,,,565.23
7464,China,Lubei power station,660,Coal,2009,,,,,3215.97
7465,China,Lubuge,450,Hydro,1992,1020.22,1361.58,1361.58,1553.46,1442.11
7467,China,Ludila,2160,Hydro,2014,5078.33,8859.22,6475.01,7205.95,7105.54
7476,China,Luoding power station,270,Coal,2004,,,,,1315.62
7485,China,Luoyang Longyu Hongguang Power Station,165,Coal,2004,,,,,803.99
7486,China,Luoyang Mengjin power station,1200,Coal,2011,,,,,5847.22
7487,China,Luoyang Shoulong power station,110,Coal,2004,,,,,535.99
7488,China,Luoyang Shouyangshan-3 power station,1260,Coal,2006,,,,,6139.59
7494,China,Lusigang power station,2640,Coal,2010,,,,,12863.9
7496,China,Luzhou Chuannan power station,1200,Coal,2008,,,,,5847.22
7498,China,Maanshan Steel power station,375,Coal,2000,,,,,1827.25
7500,China,Macau Power Station,64.2,Gas,1973,,,,,194.56
7511,China,Malutang Dam,400,Hydro,2004,1005.11,1220.35,1282.87,1405.06,1238.21
7512,China,Manas power station,1020,Coal,2000,,,,,4970.14
7514,China,Manla Dam,20,Hydro,2001,51.82,64.31,69.85,77.91,69.85
7515,China,Manwan,1605,Hydro,1995,4159.19,4740.54,5253.66,5741.18,5197
7520,China,Maoming - Ruineng Coal,510,Coal,2003,,,,,2485.07
7522,China,Maoming Refinery power station,100,Coal,1995,,,,,487.26
7527,China,Mawan power station,1840,Coal,1998,,,,,8965.75
7532,China,Meixin captive power station,700,Coal,2017,,,,,3410.88
7534,China,Meizhou Wan power station,2786,Coal,2012,,,,,13575.31
7537,China,Mengtai Beijiao power station,660,Coal,2015,,,,,3215.97
7556,China,Mowu Dam,30,Hydro,1995,90.28,121.3,118.49,129.46,114.36
7558,China,Mudanjiang-2 power station,1230,Coal,1996,,,,,5993.4
7561,China,Nagqu Geothermal,1,Geothermal,1993,,,,,4.39
7563,China,Nanchang Changbei Mill power station,100,Coal,2006,,,,,487.26
7570,China,Nanhai Changhai power station,125,Coal,2005,,,,,609.08
7571,China,Nanhai Foshan-2 power station,660,Coal,2010,,,,,3215.97
7574,China,Nanjing Chemical Industrial Park Cogen power station,710,Coal,2008,,,,,3459.61
7575,China,Nanjing Meishan power station,110,Coal,2001,,,,,535.99
7576,China,Nanjing Mine power station,600,Coal,2009,,,,,2923.61
7586,China,Nanpu Quanzhou power station,1940,Coal,2010,,,,,9453.01
7587,China,Nanre Coal,1200,Coal,2009,,,,,5847.22
7588,China,Nanshan Aluminum Donghai power station,1730,Coal,2008,,,,,8429.75
7590,China,Nanshan Thermal power station,420,Coal,2008,,,,,2046.53
7591,China,Nantun Mine power station,100,Coal,2003,,,,,487.26
7592,China,Nanya Cogen power station,148,Coal,2004,,,,,721.15
7593,China,Nanyang Yahekou power station,1900,Coal,2004,,,,,9258.11
7595,China,Nayong-1 power station,1200,Coal,2004,,,,,5847.22
7596,China,Nayong-2 power station,1200,Coal,2006,,,,,5847.22
7597,China,Neijiang Baima 2 Coal,600,Coal,2013,,,,,2923.61
7598,China,Neijiang Baima power station,900,Coal,2003,,,,,4385.42
7599,China,Neijiang Gaoba power station,100,Coal,1996,,,,,487.26
7604,China,Nierji,250,Hydro,2006,615.84,780.65,778.12,902.75,778.12
7606,China,Ningbo Boxboard Mill power station,278,Coal,2001,,,,,1354.6
7607,China,Ningbo Works power station,450,Coal,2005,,,,,2192.71
7613,China,Ningdong Maliantai power station,660,Coal,2006,,,,,3215.97
7620,China,Ningdong Younglight power station,660,Coal,2013,,,,,3215.97
7622,China,Ninghai power station,4400,Coal,2007,,,,,21439.83
7642,China,Ningxia Jinyuyuan Chemical power station,100,Coal,2006,,,,,487.26
7643,China,Ningxia Liupanshan power station,660,Coal,2010,,,,,3215.97
7677,China,Ningxia Zhongning-2 power station,660,Coal,2006,,,,,3215.97
7683,China,Niululing,80,Hydro,1979,206.36,278.49,272.64,301.02,278.49
7685,China,Niutoushan (Fujian) Dam,100,Hydro,2006,277.45,371.7,364.95,422.54,359.55
7688,China,North United Power Mengxi power station,600,Coal,2008,,,,,2923.61
7691,China,Ordos Junzheng power station,660,Coal,2015,,,,,3215.97
7692,China,Ordos Power Qipanjing power station,1960,Coal,2009,,,,,9550.47
7693,China,Ordos Resources Qipanjing power station,660,Coal,2015,,,,,3215.97
7694,China,Ordos Shendong power station,200,Coal,2007,,,,,974.53
7695,China,Panbei power station,600,Coal,2014,,,,,2923.61
7697,China,Pangduo,160,Hydro,2013,465,550.45,558.44,639.53,551.68
7698,China,Panjiakou Dam,150,Hydro,1981,371.88,484.5,491.88,573.29,490.06
7699,China,Panjin Liaohe Fortum power station,60,Coal,2008,,,,,292.36
7700,China,Panjin Xinli power station,700,Coal,2014,,,,,3410.88
7701,China,Pankou,513,Hydro,2012,1384.69,2116.8,1684.06,1975.55,2035.95
7703,China,Pansan power station,270,Coal,2008,,,,,1315.62
7704,China,Panshan power station,2260,Coal,2000,,,,,11012.28
7705,China,Panxian-1 power station,1320,Coal,2006,,,,,6431.95
7706,China,Panxian-2 power station,2400,Coal,2006,,,,,11694.45
7714,China,Pengshui,1750,Hydro,2008,5732.51,7545.92,9189.08,9695.66,6611.97
7715,China,Penny's Bay,300,Oil,1992,,,,,365.23
7717,China,PetroChina Jinxi Refinery power station,100,Coal,2002,,,,,487.26
7718,China,Pingban,405,Hydro,2005,1346.74,1395.77,1395.77,1511.42,1402.17
7720,China,Pingdingshan Luyang power station,2060,Coal,2010,,,,,10037.74
7721,China,Pingdingshan Ruiping power station,270,Coal,2007,,,,,1315.62
7722,China,Pingguo Aluminum power station,90,Coal,2005,,,,,438.54
7729,China,Pingshi power station,600,Coal,2007,,,,,2923.61
7730,China,Pingshuo Gangue power station,700,Coal,2008,,,,,3410.88
7737,China,PowerChina Huating power station,290,Coal,2006,,,,,1413.08
7739,China,Pucheng power station,2580,Coal,2004,,,,,12571.54
7740,China,Puqi Xianning power station,2600,Coal,2011,,,,,12668.99
7741,China,Pushan-5 power station,250,Coal,1998,,,,,1218.17
7742,China,Pushihe,1200,Hydro,2012,2672.3,3253.72,2938.82,4784.72,3321.61
7750,China,Puyang Longfeng power station,600,Coal,2017,,,,,2923.61
7751,China,Puyang Pangking power station,420,Coal,2006,,,,,2046.53
7756,China,Qianbei power station,1200,Coal,2002,,,,,5847.22
7757,China,Qiandong power station,1200,Coal,2008,,,,,5847.22
7761,China,Qianxi power station,1860,Coal,2010,,,,,9063.2
7763,China,Qiaogong,456,Hydro,2009,1121.48,1551.65,1921.87,1620.73,1921.87
7765,China,Qiaotou power station,270,Coal,1999,,,,,1315.62
7797,China,Qilu Works power station,490,Coal,1992,,,,,2387.61
7800,China,Qingdao power station,1200,Coal,2001,,,,,5847.22
7804,China,Qinghai Datong power station,600,Coal,2006,,,,,2923.61
7830,China,Qingshan power station,1030,Coal,1997,,,,,5018.87
7832,China,Qingshuihe captive power station,750,Coal,2015,,,,,3654.51
7833,China,Qingtongxia,272,Hydro,1978,749.66,1146.37,925.54,878.43,925.54
7834,China,Qingtongxia Aluminum Works power station,660,Coal,2010,,,,,3215.97
7839,China,Qingyuan,1280,Hydro,2015,2889.3,4036.49,4036.49,4883.08,4036.49
7841,China,Qinhuangdao-2 power station,1630,Coal,1999,,,,,7942.48
7856,China,Qudong power station,660,Coal,2012,,,,,3215.97
7858,China,Qujing power station,1200,Coal,2000,,,,,5847.22
7859,China,Qunsheng power station,100,Coal,2006,,,,,487.26
7863,China,Renqiu power station,700,Coal,2013,,,,,3410.88
7872,China,Rizhao Iron and Steel Cogen power station,660,Coal,2013,,,,,3215.97
7873,China,Rizhao power station,2060,Coal,2006,,,,,10037.74
7877,China,Ronghai power station,270,Coal,2007,,,,,1315.62
7880,China,Rudong Coal,45,Coal,2004,,,,,219.27
7882,China,Ruiming power station,250,Coal,1996,,,,,1218.17
7892,China,SDIC Dananhu power station,1320,Coal,2014,,,,,6431.95
7893,China,SDIC Jincheng power station,600,Coal,2011,,,,,2923.61
7894,China,SDIC Qinzhou power station,3360,Coal,2013,,,,,16372.24
7895,China,SDIC Yili Yining Cogen power station,660,Coal,2012,,,,,3215.97
7896,China,SGCC Ewenki power station,1200,Coal,2012,,,,,5847.22
7931,China,Salaqi power station,600,Coal,2011,,,,,2923.61
7933,China,Sanbanxi Dam,1000,Hydro,2006,2693.11,3401.1,3397.72,3888.74,3420.37
7944,China,Sanhe Yanjiao power station,1300,Coal,2003,,,,,6334.49
7945,China,Sanmexia,400,Hydro,1960,1477.29,1735.93,1685.85,1292.26,1735.93
7946,China,Sanshui Hengyi power station,1200,Coal,2011,,,,,5847.22
7958,China,Shaanxi Beiyuan power station,500,Coal,2011,,,,,2436.34
7975,China,Shaanxi Youser Yulin power station,1650,Coal,2013,,,,,8039.93
7980,China,Shahe power station,1200,Coal,2013,,,,,5847.22
7986,China,Shandong Chenming Mill power station,255,Coal,2009,,,,,1242.53
7988,China,Shandong Haihua Weifang power station,150,Coal,2011,,,,,730.9
7990,China,Shandong Hualu Hengsheng power station,174,Coal,2002,,,,,847.84
7992,China,Shandong Huatai power station,270,Coal,2013,,,,,1315.62
7993,China,Shandong Jinling power station,100,Coal,2006,,,,,487.26
8005,China,Shandong Xingda Cogen power station,360,Coal,2016,,,,,1754.16
8008,China,Shandong Zhongtai power station,300,Coal,2007,,,,,1461.8
8014,China,Shanghai Caojing power station,2000,Coal,2010,,,,,9745.38
8018,China,Shanghai Gaoqiao power station,150,Coal,1979,,,,,730.9
8025,China,Shangwan Cogen power station,300,Coal,2009,,,,,1461.8
8032,China,Shankou,220,Hydro,2016,610.7,721.69,720.82,865.11,718.6
8054,China,Shanwei Haifeng power station,2000,Coal,2015,,,,,9745.38
8055,China,Shanwei Honghaiwan power station,2520,Coal,2010,,,,,12279.18
8058,China,Shanxi Guofeng power station,600,Coal,2015,,,,,2923.61
8059,China,Shanxi Guojin power station,600,Coal,2015,,,,,2923.61
8067,China,Shanxi Ruiguang power station,660,Coal,2012,,,,,3215.97
8074,China,Shanxi Yaoguang power station,400,Coal,2012,,,,,1949.07
8077,China,Shanxi Yuguang power station,600,Coal,2015,,,,,2923.61
8090,China,Shaoguan Wastecoal power station,700,Coal,2017,,,,,3410.88
8091,China,Shaoxing Binhai power station,800,Coal,2013,,,,,3898.15
8100,China,Shatuo,1120,Hydro,2009,3204.38,4110.97,4110.97,4492.04,3581.34
8102,China,Shaxikou,300,Hydro,1990,838.74,1029.2,1042.16,947.3,1032.72
8107,China,Shendong Baode power station,270,Coal,2006,,,,,1315.62
8108,China,Shendong Hequ power station,700,Coal,2015,,,,,3410.88
8109,China,Shenery Wuzhong power station,700,Coal,2016,,,,,3410.88
8110,China,Shengle Cogen power station,700,Coal,2016,,,,,3410.88
8111,China,Shengli Dongying power station,1700,Coal,2004,,,,,8283.57
8112,China,Shenhai power station,600,Coal,1991,,,,,2923.61
8113,China,Shenhua Anqing power station,2640,Coal,2013,,,,,12863.9
8114,China,Shenhua Fugu Guojiawan power station,600,Coal,2010,,,,,2923.61
8115,China,Shenhua Fugu power station,1200,Coal,2008,,,,,5847.22
8116,China,Shenhua Guohua Jinjie power station,2400,Coal,2007,,,,,11694.45
8117,China,Shenhua Guoneng Dananhu Power Plant,600,Coal,2011,,,,,2923.61
8118,China,Shenhua Guoneng Fukang power station,300,Coal,2008,,,,,1461.8
8119,China,Shenhua Guoneng Hami power station,2640,Coal,2015,,,,,12863.9
8120,China,Shenhua Hequ power station,2400,Coal,2008,,,,,11694.45
8121,China,Shenhua Jinjiang power station,100,Coal,2006,,,,,487.26
8122,China,Shenhua Jiujiang power station,2104,Coal,2018,,,,,10252.14
8123,China,Shenhua Lingzhou power station,270,Coal,2006,,,,,1315.62
8124,China,Shenhua Shenmu power station,1530,Coal,2013,,,,,7455.21
8125,China,Shenhua Wanzhou power station,2000,Coal,2015,,,,,9745.38
8126,China,Shenhua Wuhai Xilaifeng power station,400,Coal,2010,,,,,1949.07
8127,China,Shenhua Yili power station,800,Coal,2008,,,,,3898.15
8128,China,Shenhua Yuanyang Lake power station,1320,Coal,2010,,,,,6431.95
8129,China,Shenhua Zhundong Wucaiwan power station,700,Coal,2015,,,,,3410.88
8130,China,Shenhua Zhunneng power station,960,Coal,2009,,,,,4677.78
8131,China,Shenhuo Zhundong power station,1400,Coal,2013,,,,,6821.76
8132,China,Shenmu - CLP Coal,220,Coal,1999,,,,,1071.99
8133,China,Shenmu 2 Coal,210,Coal,2000,,,,,1023.26
8134,China,Shenmu Jieneng power station,200,Coal,2012,,,,,974.53
8135,China,Shenneng Korla power station,700,Coal,2017,,,,,3410.88
8155,China,Shidongkou,1050,Gas,2004,,,,,3182.13
8156,China,Shidongkou power station,3820,Coal,1997,,,,,18613.67
